Gene stable ID	CDD ID
LOC100633972	
LOC100633972	
LOC100631963	cd04458
LOC100631963	cd04458
LOC105316874	cd16620
LOC109585514	
LOC100637711	cd02809
LOC109592761	
LOC100633695	
LOC109584330	cd01670
LOC105313327	cd00637
LOC109585258	
LOC100640290	cd11873
LOC100638677	cd00992
LOC100638677	cd00992
LOC100638677	cd00071
LOC100638677	cd11862
LOC100638677	cd11862
LOC100638677	cd00071
LOC100638677	cd00992
LOC100638677	cd00992
LOC100639054	cd00992
LOC100632619	
LOC105315754	
LOC100640397	
LOC105316297	cd18789
LOC109583620	
LOC100635836	
LOC100633302	cd01723
LOC100638728	
LOC100636122	cd07233
LOC100633374	cd00012
LOC109592816	
LOC105316435	
LOC109584207	
LOC100635780	
LOC105314952	
LOC100632586	
LOC105314910	cd02440
LOC100641904	
LOC100641933	
LOC109580548	
LOC100634838	
LOC109590319	
LOC109586576	
LOC109593148	
LOC100639570	
LOC100632937	
LOC105312400	cd20504
LOC100633963	cd03313
LOC109591607	
LOC100641057	
LOC109580633	
LOC109584617	cd01670
LOC109590624	
LOC109588510	cd01670
LOC100633600	cd17041
LOC100633600	cd01670
LOC100633600	cd00200
LOC109583746	
LOC109583746	
LOC100634447	cd05646
LOC105316920	
LOC109589085	
LOC109593273	
LOC109582989	cd00063
LOC100639695	
LOC100639695	
LOC100633763	cd16638
LOC100633763	cd16638
LOC109589864	
LOC105316810	
LOC100639342	cd00054
LOC100639342	cd00054
LOC100639342	cd00054
LOC100639342	cd00054
LOC100639342	cd00054
LOC100639342	cd00054
LOC100639342	cd00054
LOC100639342	cd00054
LOC100639210	
LOC105316676	
LOC100634112	cd17758
LOC109584241	
LOC100640660	
LOC100638371	cd18079
LOC100640344	
LOC100635525	
LOC105313829	
LOC109588601	
LOC105315250	
LOC100639060	cd14698
LOC100637939	
LOC105314771	
LOC100632221	
LOC100640928	
LOC100640255	
LOC100632541	
LOC105312648	
LOC109584612	cd11296
LOC100632615	
LOC100632615	
LOC100639432	
LOC100639432	
LOC109582426	
LOC100639806	cd00143
LOC100632692	cd03263
LOC105314046	cd02334
LOC105314046	cd00201
LOC100631569	
LOC100632763	cd05136
LOC105312740	
LOC109591875	
LOC100637565	
LOC105316371	
LOC105311926	
LOC109580958	
LOC100633805	
LOC100633393	cd01670
LOC100633393	cd01670
LOC100633393	cd01670
LOC100633393	cd01670
LOC109581577	cd19757
LOC109581577	cd00063
LOC109593713	cd19818
LOC100640299	
LOC100641774	cd01850
LOC109583028	
LOC109583028	
LOC109587111	cd01670
LOC105313585	
LOC109587739	
LOC105315281	
LOC100635519	cd00821
LOC109588440	
